;Aorta;Bladder;Blood;Bone (Cancellous);Bone (Cortical);Marrow (Infiltrated);Marrow (Not Inf.);Brain (Grey);Brain (White);Breast fat;Cartilage;Cerebellum;Cerebro Spinal Fluid;Cervix;Colon;Cornea;Dura;Eye Tissues (Sclera);Fat (Average Inf.);Fat (Not Inf.);Gall Bladder;Gall Bladder Bile;Heart;Kidney;Lens Cortex;Lens Nucleus;Liver;Lung (Deflated);Lung (Inflated);Muscle;Nerve;Ovary;Skin (Dry);Skin (Wet);Small Intestine;Spleen;Stomach;Tendon;Testis;Thyroid;Tongue;Trachea;Uterus;Vitreous Humor;
Pituitary               ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Pons                    ;;;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salivary gland          ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
SAT                     ;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;
Seminal Vesicle         ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Skull                   ;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tendon                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;
Tendon_Ligament         ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;
Testis                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;
Thalamus                ;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thyroid_gland           ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Tooth                   ;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ureter_Urethra          ;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uterus                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;
Vagina                  ;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vein                    ;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ventricles              ;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vertebrae               ;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Visceral pericardium    ;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;0.5;;;;;;;;;;;;;;;
White matter            ;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ear Cartilage            ;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ear Skin                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;;;;;;;;;
ext BloodA               ;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ext BloodV               ;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ext Blood vessel         ;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ext Bone cortical        ;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ext Bone medullary cavity;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ext Bone spongiosa       ;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ext Cartilage            ;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ext Fat                  ;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;
ext Ligament             ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;
