basis_index,Re_J,Im_J,magnitude_J,phase_deg
115,-6.076457023394e-04,-8.498982602585e-04,1.044777656902e-03,-125.563360
116,-1.056400017402e-02,-6.207075020961e-03,1.225258666537e-02,-149.562841
117,1.965532149967e-04,5.167698562920e-03,5.171435158980e-03,87.821807
118,-5.692373632876e-04,5.048318226808e-03,5.080309842409e-03,96.433374
119,2.240705529019e-03,-1.611733453364e-03,2.760153255250e-03,-35.727363
120,-3.085753469443e-03,2.981815175314e-03,4.291048381680e-03,135.981389
121,4.990262887157e-04,1.607626549209e-03,1.683297465854e-03,72.755039
122,-1.143615389639e-02,-1.535913460433e-02,1.914911569070e-02,-126.670751
123,1.821717059991e-03,5.892405054456e-03,6.167583835867e-03,72.820296
124,-2.007371432356e-03,1.629052302277e-03,2.585217876890e-03,140.939459
125,8.221513170500e-03,-5.607276705166e-03,9.951624533763e-03,-34.294962
126,-3.109868924214e-03,1.394409392090e-03,3.408175799242e-03,155.849392
127,1.508212988352e-02,-1.383843540903e-03,1.514548331249e-02,-5.242430
128,-8.019213669717e-03,-1.602933643062e-04,8.020815534796e-03,-178.854886
129,-3.077570376420e-02,1.062365099680e-02,3.255773184182e-02,160.955529
130,9.881995353757e-03,3.652806682708e-03,1.053550325485e-02,20.286461
131,7.493507808774e-03,-1.970569086959e-03,7.748277344458e-03,-14.733504
132,-1.752794117551e-03,-1.859739416438e-03,2.555566065586e-03,-133.304313
133,2.525078017707e-03,-9.836537396355e-03,1.015546586550e-02,-75.602817
134,7.670899903195e-03,4.513442835940e-03,8.900217500609e-03,30.471919
135,6.814245216429e-03,6.766463541713e-05,6.814581158994e-03,0.568922
136,-3.079917250672e-02,-4.636042585832e-02,5.565858525747e-02,-123.597753
137,3.424392125147e-03,1.608135085241e-02,1.644190702641e-02,77.978882
138,4.789170327644e-03,1.520884354461e-04,4.791584635524e-03,1.818916
139,3.253283368833e-04,-2.980084961745e-03,2.997790003653e-03,-83.769836
140,1.115453214887e-01,-7.533668148416e-02,1.346030249402e-01,-34.034729
141,7.152540213052e-04,-8.171053832198e-03,8.202299009648e-03,-84.997360
142,-3.248565298228e-03,8.096364596867e-03,8.723777632554e-03,111.862508
143,4.724171172514e-03,-1.711020607637e-02,1.775040690359e-02,-74.565036
144,-7.024487937360e-03,1.749714328750e-03,7.239125017179e-03,166.012957
145,2.559080815610e-03,-3.556297852901e-03,4.381341009254e-03,-54.261540
146,6.617717317663e-03,-6.817199851984e-03,9.500968177948e-03,-45.850669
147,2.041181612705e-04,1.277835937886e-03,1.294035899004e-03,80.924395
148,-1.224859204925e-02,-1.070066153907e-02,1.626444479724e-02,-138.858764
149,1.947854329498e-02,9.555280947116e-03,2.169601444673e-02,26.130453
150,-2.931025573542e-03,-3.343236904855e-03,4.446138089932e-03,-131.241140
151,8.565246526662e-03,-1.171690026708e-02,1.451375898695e-02,-53.832583
152,-1.218537119680e-03,7.265988127814e-03,7.367456561499e-03,99.520155
153,7.639560528077e-03,-1.361487248356e-02,1.561177881619e-02,-60.702399
154,2.102739952867e-04,-8.824457482959e-03,8.826962389273e-03,-88.634983
155,3.208097582867e-02,2.980616769099e-02,4.379037157347e-02,42.894906
156,-4.318273417008e-03,1.077116602491e-03,4.450580353100e-03,165.994377
157,5.187809529965e-03,-1.010269447701e-02,1.135683949940e-02,-62.819161
158,1.724433664752e-03,1.825443944847e-02,1.833570917750e-02,84.603481
159,7.838738344389e-03,1.873743900743e-03,8.059574122581e-03,13.443519
160,8.299392933417e-03,-6.392076286975e-03,1.047561751506e-02,-37.602961
161,4.488371633692e-01,-4.385984208324e-01,6.275534829622e-01,-44.338982
162,-3.186143730863e-02,1.258262875198e-02,3.425600288536e-02,158.450085
163,3.774182436342e-02,-4.349797084893e-02,5.758922446303e-02,-49.052849
164,-6.216083909500e-04,-4.073133540852e-03,4.120292930523e-03,-98.677063
165,-1.687331310780e-03,2.744711547734e-03,3.221882746564e-03,121.581423
166,2.511287200739e-03,2.431149651363e-02,2.444085567522e-02,84.102475
167,1.684244838095e-03,-2.397482854934e-03,2.929949609524e-03,-54.911749
168,1.161069619201e-02,2.661397596799e-03,1.191181359959e-02,12.910283
169,1.760651124867e-02,6.232126777111e-03,1.867695485125e-02,19.492291
170,7.135985443497e-03,-2.385735579260e-04,7.139972380363e-03,-1.914826
171,1.025428543430e-01,-1.180972677781e-02,1.032206695550e-01,-6.569736
172,5.185341805048e-02,3.434337493886e-02,6.219521175869e-02,33.517166
173,3.197675554883e-02,6.111116770529e-04,3.198259453065e-02,1.094853
174,-5.596204861169e-05,-3.131210188071e-03,3.131710234482e-03,-91.023901
175,5.023131555567e-03,6.870875495888e-03,8.511214995788e-03,53.830362
176,4.334629907129e-03,2.215890105169e-03,4.868180911794e-03,27.076404
177,1.671723094082e-03,-2.507025608892e-03,3.013276540069e-03,-56.304036
