element_index,cx,cy,cz,Re_J,Im_J,magnitude_J
2721,-8.273580255342e+01,-1.482434704647e+01,3.400000000000e+01,-3.127959764886e-02,-5.381450910234e-02,6.224479591902e-02
2722,-7.963720061625e+01,-1.408423794840e+01,3.400000000000e+01,-5.762473126239e-03,-8.604153024234e-03,1.035555627647e-02
2723,-7.920686250965e+01,-1.624311545300e+01,3.400000000000e+01,-1.428421279982e-02,-1.754509686712e-03,1.439156140074e-02
2724,-7.713096230437e+01,-1.340427169144e+01,3.400000000000e+01,3.929146228013e-03,1.669087919518e-02,1.714711749506e-02
2725,-7.349582675081e+01,-1.111936281522e+01,3.400000000000e+01,-1.155753531574e-02,-3.798098907344e-03,1.216561457077e-02
2726,-7.391254511643e+01,-8.697864541415e+00,3.400000000000e+01,-5.385260307168e-03,-3.343737904246e-02,3.386826458213e-02
2727,-7.895354370881e+01,-8.469718932056e+00,3.300000000000e+01,5.627876998157e-02,-1.797370362710e-01,1.883419819322e-01
2728,-7.827227157280e+01,-8.846068044845e+00,3.300000000000e+01,9.337530058457e-03,-7.693352687919e-02,7.749810981994e-02
2729,-7.783883882133e+01,-1.010759735445e+01,3.300000000000e+01,2.593628215125e-02,-3.769261549332e-02,4.575395058961e-02
2730,-7.961664008685e+01,-8.469718932056e+00,3.300000000000e+01,3.224346925512e-02,-1.414252929981e-01,1.450543167548e-01
2731,-7.786589222885e+01,-9.430135361921e+00,3.300000000000e+01,1.906917505187e-02,-1.487138341761e-01,1.499314440420e-01
2732,-7.810452424388e+01,-1.076027099359e+01,3.300000000000e+01,3.823911007762e-02,-6.466139247444e-02,7.512206876985e-02
2733,-7.948356907494e+01,-1.122863446031e+01,3.300000000000e+01,-5.790549172890e-02,2.597431547799e-03,5.796371816068e-02
2734,-8.010767128124e+01,-8.687482454258e+00,3.300000000000e+01,-1.698032060273e-02,-1.568386505515e-01,1.577551697872e-01
2735,-8.034945478246e+01,-1.073633855277e+01,3.300000000000e+01,-6.014647744302e-02,-9.673668441407e-02,1.139104247215e-01
2736,-8.068969488462e+01,-9.835667599479e+00,3.300000000000e+01,-1.638805156667e-02,-1.990203787143e-01,1.996939642997e-01
2737,-7.861692176546e+01,-1.117248786707e+01,3.300000000000e+01,1.397706487010e-02,-4.064500506788e-02,4.298109793096e-02
2738,-8.067980271139e+01,-1.026777197860e+01,3.300000000000e+01,5.638948847882e-03,-2.403300486066e+00,2.403307101490e+00
2739,-8.049098020350e+01,-9.151773078474e+00,3.300000000000e+01,-3.449018525078e-02,-8.580932856270e-02,9.248142379426e-02
2740,-7.759451803633e+01,-6.603449556313e+00,3.300000000000e+01,-6.803217100878e-03,6.679071863797e-03,9.533822102569e-03
2741,-7.547614033602e+01,-9.681875735404e+00,3.300000000000e+01,5.180523625109e-03,-2.291438944368e-02,2.349270245432e-02
2742,-7.554831011566e+01,-1.137962973403e+01,3.300000000000e+01,-1.329984229813e-03,-3.888364951147e-03,4.109530392254e-03
2743,-7.633080051804e+01,-1.538083059815e+01,3.300000000000e+01,-1.054995023278e-02,-1.270890402907e-02,1.651719381536e-02
2744,-8.318501719865e+01,-1.092768911526e+01,3.300000000000e+01,-5.242513031158e-02,2.670615945628e-02,5.883547604201e-02
2745,-8.307368148131e+01,-8.801307542785e+00,3.300000000000e+01,3.726242464168e-03,-4.844595615871e-03,6.111872837607e-03
2746,-7.790923473083e+01,-4.679201238681e+00,3.300000000000e+01,-1.939319240589e-02,-3.973429574707e-02,4.421436610659e-02
2747,-8.036094275706e+01,-6.227100443524e+00,3.300000000000e+01,-1.792762326882e-02,-5.549301497211e-02,5.831701627110e-02
2748,-7.456220702874e+01,-6.874943286485e+00,3.300000000000e+01,-4.168492137159e-02,-7.240790441337e-03,4.230912095483e-02
2749,-7.573971286265e+01,-8.241102040312e+00,3.300000000000e+01,2.211272518483e-02,-4.938799297984e-03,2.265754518049e-02
2750,-7.391254511643e+01,-8.697864541415e+00,3.300000000000e+01,-1.213810962373e-02,-3.244412808593e-02,3.464036882734e-02
2751,-7.349582675081e+01,-1.111936281522e+01,3.300000000000e+01,-1.223293708067e-02,6.138891180368e-04,1.224833088502e-02
2752,-7.713096230437e+01,-1.340427169144e+01,3.300000000000e+01,-1.280743230288e-04,1.003924281257e-02,1.004005972502e-02
2753,-7.920686250965e+01,-1.624311545300e+01,3.300000000000e+01,-1.298639835701e-02,1.131193328167e-03,1.303557212525e-02
2754,-7.963720061625e+01,-1.408423794840e+01,3.300000000000e+01,-5.740787980725e-03,-7.310537392186e-03,9.295192499469e-03
2755,-8.273580255342e+01,-1.482434704647e+01,3.300000000000e+01,-3.904531679484e-02,-5.697314629831e-02,6.906863371124e-02
2756,-8.193880016865e+01,-1.289082550578e+01,3.300000000000e+01,2.288009574504e-03,2.088761039128e-03,3.098049465648e-03
2757,-8.483209656478e+01,-1.241273622164e+01,3.300000000000e+01,-1.507648469472e-02,-2.153208471148e-02,2.628556757562e-02
2758,-8.514297685617e+01,-9.239081994384e+00,3.300000000000e+01,-3.211863100227e-02,-2.582219663789e-02,4.121155537790e-02
2759,-8.371906944309e+01,-6.389183018242e+00,3.300000000000e+01,-4.088391526625e-02,-2.281500966794e-02,4.681900462042e-02
2760,-8.195931346363e+01,-7.068414370640e+00,3.300000000000e+01,1.315017107664e-02,-3.322375292387e-02,3.573156528465e-02
2761,-8.134899681589e+01,-4.679201238681e+00,3.300000000000e+01,-6.457760967188e-02,-3.915698209730e-02,7.552176453117e-02
2762,-7.236641097789e+01,-8.205858944419e+00,3.316666666667e+01,7.800513825404e-01,-4.706638797331e+00,4.770841532470e+00
2763,-7.236641097789e+01,-8.205858944419e+00,3.383333333333e+01,1.297549801552e+00,-7.875036390081e+00,7.981217553269e+00
2764,-7.227211465617e+01,-8.405056697743e+00,3.350000000000e+01,1.226101479152e+00,-6.245927113611e+00,6.365133961334e+00
2765,-7.246070729961e+01,-8.006661191096e+00,3.350000000000e+01,1.297341227830e+00,-9.177768143486e+00,9.269008704118e+00
2766,-7.400684143815e+01,-8.498666788092e+00,3.366666666667e+01,-4.835636603673e-02,-9.678027653522e-02,1.081885394231e-01
2767,-7.550582741582e+01,-9.090271261749e+00,3.333333333333e+01,6.323524746269e-02,-1.191557067934e-01,1.348954372212e-01
2768,-7.554074957794e+01,-1.007428245573e+01,3.366666666667e+01,5.957533243726e-03,-2.096591127355e-02,2.179590874179e-02
2769,-7.388285803663e+01,-9.289469015070e+00,3.333333333333e+01,-3.105790427967e-02,-4.771295450031e-02,5.693083035925e-02
2770,-7.302415252581e+01,-6.109500301240e+00,3.350000000000e+01,1.875836537362e+00,-9.930233517576e+00,1.010585475992e+01
2771,-7.338266721859e+01,-5.688619639388e+00,3.350000000000e+01,1.501212552574e+00,-5.988395926729e+00,6.173696210802e+00
2772,-7.320340987220e+01,-5.899059970314e+00,3.316666666667e+01,1.800609376186e+00,-8.635400377352e+00,8.821129961789e+00
2773,-7.320340987220e+01,-5.899059970314e+00,3.383333333333e+01,1.875060264149e+00,-8.831099614178e+00,9.027966071587e+00
2774,-7.601063285847e+01,-7.745606437193e+00,3.366666666667e+01,6.586166191041e-02,-6.816044595222e-03,6.621341988997e-02
2775,-7.474146437513e+01,-6.664502955559e+00,3.333333333333e+01,-6.948105647796e-02,-1.941223969483e-02,7.214188976775e-02
2776,-7.564805021321e+01,-8.526157312506e+00,3.366666666667e+01,5.054288984603e-02,-1.311316490123e-02,5.221626956912e-02
2777,-7.429128703291e+01,-7.370438889604e+00,3.333333333333e+01,-1.011316629919e-01,6.813239219319e-03,1.013609071002e-01
2778,-8.396223139349e+01,-1.630332866580e+01,3.366666666667e+01,9.500148806006e-02,-1.125835671607e+01,1.125875753487e+01
2779,-8.384336467718e+01,-1.636137604103e+01,3.333333333333e+01,1.606956903183e-02,-9.448248415510e+00,9.448262081052e+00
2780,-8.261693583712e+01,-1.488239442169e+01,3.366666666667e+01,-1.176705477896e-01,-6.002351734132e-02,1.320953460616e-01
2781,-8.150937371335e+01,-1.334536542713e+01,3.333333333333e+01,1.155654901885e-02,-1.964107132618e-02,2.278871448909e-02
2782,-8.224935990764e+01,-1.249433295966e+01,3.366666666667e+01,-4.606994247483e-03,1.370476709775e-02,1.445838985502e-02
2783,-8.316522900871e+01,-1.436980712512e+01,3.333333333333e+01,1.603476907948e-02,-2.059892278156e-02,2.610420347746e-02
2784,-7.944237692247e+01,-1.831679992110e+01,3.316666666667e+01,3.824282056008e+00,-2.743102851918e+01,2.769632572859e+01
2785,-7.944237692247e+01,-1.831679992110e+01,3.383333333333e+01,2.757249776073e+00,-1.868426817812e+01,1.888661705228e+01
2786,-7.966343002427e+01,-1.833802057090e+01,3.350000000000e+01,4.309289694341e+00,-2.284823211266e+01,2.325105778978e+01
2787,-7.922132382068e+01,-1.829557927129e+01,3.350000000000e+01,3.251546631783e+00,-1.477714022992e+01,1.513064535549e+01
2788,-7.898580940785e+01,-1.622189480320e+01,3.366666666667e+01,-1.272302856702e-02,2.409542016684e-02,2.724820597643e-02
2789,-7.886082154593e+01,-1.415882066001e+01,3.333333333333e+01,-6.474050855513e-02,-4.651221246209e-02,7.971649362645e-02
2790,-8.019252658478e+01,-1.398843458698e+01,3.366666666667e+01,-8.533530387074e-03,-9.764141339011e-02,9.801360492138e-02
2791,-7.998324157998e+01,-1.616853274139e+01,3.333333333333e+01,-8.992920810339e-04,1.511379833077e-02,1.514052925859e-02
2792,-7.512828393505e+01,-1.702337263881e+01,3.316666666667e+01,4.356831516060e-01,-4.323784198221e+00,4.345679417695e+00
2793,-7.512828393505e+01,-1.702337263881e+01,3.383333333333e+01,4.454982938074e-01,-4.266272968973e+00,4.289470104288e+00
2794,-7.531035084644e+01,-1.738750646158e+01,3.350000000000e+01,2.447991888097e-01,-4.385459150297e+00,4.392286261363e+00
2795,-7.494621702367e+01,-1.665923881604e+01,3.350000000000e+01,7.478398481841e-01,-6.345473927149e+00,6.389389939475e+00
2796,-7.583741226570e+01,-1.486474682072e+01,3.366666666667e+01,-3.596060100929e-02,-1.868276478173e-02,4.052419678216e-02
2797,-7.681964096342e+01,-1.325232173679e+01,3.333333333333e+01,5.342226172021e-03,1.895723116117e-02,1.969558310310e-02
2798,-7.762435055671e+01,-1.392035546887e+01,3.366666666667e+01,-1.402575270762e-02,-8.681722363495e-03,1.649527332941e-02
2799,-7.651286742942e+01,-1.574496442091e+01,3.333333333333e+01,-1.784838102996e-02,-2.793960732545e-02,3.315397959357e-02
2800,-7.164441956659e+01,-1.098922935581e+01,3.350000000000e+01,3.142179406718e+00,-1.616942766790e+01,1.647190585607e+01
2801,-7.164441956659e+01,-1.150976319344e+01,3.350000000000e+01,2.624423641600e+00,-1.267925721006e+01,1.294801771892e+01
2802,-7.164441956659e+01,-1.124949627462e+01,3.383333333333e+01,1.821375018348e+00,-9.911081171636e+00,1.007705001219e+01
2803,-7.164441956659e+01,-1.124949627462e+01,3.316666666667e+01,3.355487588603e+00,-1.967995899820e+01,1.996396962350e+01
2804,-7.349582675081e+01,-1.085909589640e+01,3.366666666667e+01,-4.664163770326e-02,1.285667331019e-02,4.838115765716e-02
2805,-7.534723393504e+01,-1.085909589640e+01,3.333333333333e+01,4.700754757324e-02,-4.469861590446e-02,6.486659997738e-02
2806,-7.574938629629e+01,-1.163989665285e+01,3.366666666667e+01,-2.322514021093e-02,7.324291637404e-04,2.323668630199e-02
2807,-7.369690293144e+01,-1.163989665285e+01,3.333333333333e+01,-7.186211176047e-03,1.240270388886e-02,1.433417925176e-02
2808,-8.135327899650e+01,-1.054678476616e+01,3.366666666667e+01,6.770967608684e+00,-4.471109634707e+01,4.522088166893e+01
2809,-8.137306718644e+01,-1.047471073812e+01,3.333333333333e+01,7.147355551572e+00,-5.398585246377e+01,5.445692754481e+01
2810,-8.671659164855e+01,-1.317785197839e+01,3.350000000000e+01,1.566825992856e+00,-9.314723731108e+00,9.445582135515e+00
2811,-8.638684266940e+01,-1.365771997645e+01,3.350000000000e+01,1.238615121676e+00,-6.972665670609e+00,7.081824198166e+00
2812,-8.655171715897e+01,-1.341778597742e+01,3.383333333333e+01,1.741533889366e+00,-1.181535273171e+01,1.194301052761e+01
2813,-8.655171715897e+01,-1.341778597742e+01,3.316666666667e+01,1.223497499271e+00,-8.609332349399e+00,8.695835188936e+00
2814,-8.466722207520e+01,-1.265267022067e+01,3.366666666667e+01,-1.276205963182e-01,-1.616094107983e-01,2.059238166487e-01
