//	DATA WITHOUT WARRANTY	D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. Available: http://niremf.ifac.cnr.it/tissprop/
//
//	VALUES MUST BE DELIVERED IN THE UNITS GIVEN BELOW
//
Tissue                  	Rho    	K      	HeatCap 	BldFlow 	Metabol 	epsInf	deltaEps1	tau1   	alpha1	deltaEps2	tau2    	alpha2	sigmaIon	deltaEps3	tau3    	alpha3	deltaEps4	tau4   	alpha4
                        	[kg/m3]	[W/m K]	[J/kg K]	[W/m3 K]	[W/m3]  	      	         	[ps]   	      	         	[ns]    	      	        	         	[mus]   	      	         	[ms]   	
//
Body fluid              	1000	0.6 	4200    	0       	0       														
Bone marrow             	1000	0.2 	2700    	3.00E+04	6.00E+03	2.5   	6        	11.2135	0.2   	52.5     	15.915  	0.1   	0.0505  	7500     	1591.549	0.1   	2000000  	15.915 	0.1
Eye cornea              	1050	0.5 	3600    	0       	0       	4.000 	48.00    	7.958  	0.100 	4000     	159.155 	0.050 	0.400   	1.00E+5  	15.915  	0.200 	4.00E+7  	15.915 	0.000
Eye sclera              	1030	0.4 	3000    	2.00E+03	0       	4.000 	50.00    	7.958  	0.100 	4000     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	5.00E+6  	15.915 	0.000
Eye retina              	1030	0.5 	3700    	4.00E+04	7.00E+03														
Nail                    	1030	0.35	2100    	0       	0       														
Lung inflated           	 800	0.4 	3600    	9.00E+03	2.00E+03	2.500 	18.00    	7.958  	0.100 	500      	63.662  	0.100 	0.030   	2.50E+5  	159.155 	0.200 	4.00E+7  	7.958  	0.000
Lung deflated           	1050	0.6 	3600    	2.00E+04	4.00E+03	4.000 	45.00    	7.958  	0.100 	1000     	159.155 	0.100 	0.200   	5.00E+5  	159.155 	0.200 	1.00E+7  	15.915 	0.000
ear Cartilage           	1100	0.6 	3500    	9.00E+03	2.00E+03	4.000 	38.00    	13.263 	0.150 	2500     	144.686 	0.150 	0.150   	1.00E+5  	318.310 	0.100 	4.00E+7  	15.915 	0.000
ear Skin                	1100	0.3 	3500    	9.00E+03	2.00E+03	4     	35.5     	7.596  	0.05  	690      	56.029  	0.1   	0       	15000    	80.3735 	0.18  	15000    	8.7535 	0.2
ext BloodA              	1050	0.5 	3800    	1.00E+06	0       	4.000 	56.00    	8.377  	0.100 	5200     	132.629 	0.100 	0.700   	0.00E+0  	159.155 	0.200 	0.00E+0  	15.915 	0.000
ext BloodV              	1050	0.5 	3800    	1.00E+06	0       	4.000 	56.00    	8.377  	0.100 	5200     	132.629 	0.100 	0.700   	0.00E+0  	159.155 	0.200 	0.00E+0  	15.915 	0.000
ext Blood vessel        	1060	0.46	3300    	1.00E+06	0       	4.000 	56.00    	8.377  	0.100 	5200     	132.629 	0.100 	0.700   	0.00E+0  	159.155 	0.200 	0.00E+0  	15.915 	0.000
ext Bone cortical       	2000	0.4 	1300    	3.00E+03	6.00E+02	2.500 	10.00    	13.263 	0.200 	180      	79.577  	0.200 	0.020   	5.00E+3  	159.155 	0.200 	1.00E+5  	15.915 	0.000
ext Bone medullary cavity	1000	0.2 	2700    	3.00E+04	6.00E+03	2.500 	18.00    	13.263 	0.220 	300      	79.577  	0.250 	0.070   	2.00E+4  	159.155 	0.200 	2.00E+7  	15.915 	0.000
ext Bone spongiosa      	1200	0.4 	1300    	3.00E+03	6.00E+02	2.500 	18.00    	13.263 	0.220 	300      	79.577  	0.250 	0.070   	2.00E+4  	159.155 	0.200 	2.00E+7  	15.915 	0.000
ext Cartilage           	1100	0.6 	3500    	9.00E+03	2.00E+03	4.000 	38.00    	13.263 	0.150 	2500     	144.686 	0.150 	0.150   	1.00E+5  	318.310 	0.100 	4.00E+7  	15.915 	0.000
ext Fat                 	 900	0.2 	2500    	2.00E+03	3.00E+02	2.500 	3.00     	7.958  	0.200 	15       	15.915  	0.100 	0.010   	3.30E+4  	159.155 	0.050 	1.00E+7  	7.958  	0.010
ext Ligament            	1100	0.5 	3500    	4.00E+03	5.00E+02	4.000 	42.00    	12.243 	0.100 	60       	6.366   	0.100 	0.250   	6.00E+4  	318.310 	0.220 	2.00E+7  	1.326  	0.000
ext Muscle              	1080	0.5 	3500    	3.00E+03	5.00E+02	4.000 	50.00    	7.234  	0.100 	7000     	353.678 	0.100 	0.200   	1.20E+6  	318.310 	0.100 	2.50E+7  	2.274  	0.000
ext Nail                	1030	0.35	2100    	0       	0       														
ext Nerve               	1080	0.5 	3700    	4.00E+04	7.00E+03	4.000 	26.00    	7.958  	0.100 	500      	106.103 	0.150 	0.006   	7.00E+4  	15.915  	0.200 	4.00E+7  	15.915 	0.000
ext Skin                	1100	0.3 	3500    	9.00E+03	2.00E+03	4     	35.5     	7.596  	0.05  	690      	56.029  	0.1   	0       	15000    	80.3735 	0.18  	15000    	8.7535 	0.2
ext Tendon              	1100	0.5 	3500    	4.00E+03	5.00E+02	4.000 	42.00    	12.243 	0.100 	60       	6.366   	0.100 	0.250   	6.00E+4  	318.310 	0.220 	2.00E+7  	1.326  	0.000
Placenta                	1050	0.6 	3800    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Umbilical cord          	1100	0.3 	3500    	9.00E+03	2.00E+03	4.000 	39.00    	7.958  	0.100 	280      	79.577  	0.000 	0.000   	3.00E+4  	1.592   	0.160 	3.00E+4  	1.592  	0.200
Amniotic fluid          	1010	0.5 	4200    	0       	0       	4.000 	65.00    	7.234  	0.000 	30       	159.155 	0.100 	1.500   	0.00E+0  	159.155 	0.000 	0.00E+0  	15.915 	0.000
Fetus Head tissue       	1000	0.4 	3000    	2.00E+03	4.00E+02	3.25  	26.5     	7.596  	0.15  	3507.5   	184.7965	0.1   	0.105   	616500   	238.7325	0.075 	17500000	5.116  	0.005
Fetus Skin              	1100	0.3 	3500    	9.00E+03	2.00E+03	4.000 	39.00    	7.958  	0.100 	280      	79.577  	0.000 	0.000   	3.00E+4  	1.592   	0.160 	3.00E+4 	1.592  	0.200
Fetus Trunk             	1000	0.4 	3000    	2.00E+03	4.00E+02	3.25  	26.5     	7.596  	0.15  	3507.5   	184.7965	0.1   	0.105   	616500   	238.7325	0.075 	17500000	5.116  	0.005
Fetus Arms              	1000	0.4 	3000    	2.00E+03	4.00E+02	3.25  	26.5     	7.596  	0.15  	3507.5   	184.7965	0.1   	0.105   	616500   	238.7325	0.075 	17500000	5.116  	0.005
Fetus Legs              	1000	0.4 	3000    	2.00E+03	4.00E+02	3.25  	26.5     	7.596  	0.15  	3507.5   	184.7965	0.1   	0.105   	616500   	238.7325	0.075 	17500000	5.116  	0.005
Fetus Brain             	1045	0.5 	3700    	4.00E+04	4.00E+03	4     	38.5     	7.958  	0.1   	250      	11.9365 	0.125 	0.02    	120000   	79.5775 	0.26  	40000000 	6.6315 	0.01
Fetus Eyes              	1000	0.6 	3900    	0       	0       	4.000 	50.00    	7.958  	0.100 	4000     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	5.00E+6  	15.915 	0.000
Fetus Eye lenses        	1090	0.4 	3600    	0       	0       	4.000 	42.00    	7.958  	0.100 	1500     	79.577  	0.100 	0.300   	2.00E+5  	159.155 	0.100 	4.00E+7  	15.915 	0.000
Fetus Spinal cord       	1080	0.5 	3700    	4.00E+04	7.00E+03	4.000 	26.00    	7.958  	0.100 	500      	106.103 	0.150 	0.006   	7.00E+4  	15.915  	0.200 	4.00E+7  	15.915 	0.000
Fetus Lungs             	1020	0.6 	3600    	9.00E+03	2.00E+03	2.500 	18.00    	7.958  	0.100 	500      	63.662  	0.100 	0.030   	2.50E+5  	159.155 	0.200 	4.00E+7  	7.958  	0.000
Fetus Heart             	1080	0.5 	3700    	5.00E+04	1.00E+04	4.000 	50.00    	7.958  	0.100 	1200     	159.155 	0.050 	0.050   	4.50E+5  	72.343  	0.220 	2.50E+7  	4.547  	0.000
Fetus Kidneys           	1050	0.5 	3900    	3.00E+05	5.00E+04	4.000 	47.00    	7.958  	0.100 	3500     	198.944 	0.220 	0.050   	2.50E+5  	79.577  	0.220 	3.00E+7  	4.547  	0.000
Fetus Liver             	1050	0.5 	3600    	7.00E+04	1.00E+04	4.000 	39.00    	8.842  	0.100 	6000     	530.516 	0.200 	0.020   	5.00E+4  	22.736  	0.200 	3.00E+7  	15.915 	0.050
Fetus Stomach           	1050	0.6 	3600    	3.00E+04	5.00E+03	4.000 	60.00    	7.958  	0.100 	2000     	79.577  	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Fetus Gall bladder      	1050	0.6 	3900    	9.00E+03	2.00E+03	4.000 	55.00    	7.579  	0.050 	40       	1.592   	0.000 	0.900   	1.00E+3  	159.155 	0.200 	1.00E+4  	15.915 	0.000
Fetus Cranium           	1850	0.4 	1300    	3.00E+03	6.00E+02	2.500 	10.00    	13.263 	0.200 	180      	79.577  	0.200 	0.020   	5.00E+3  	159.155 	0.200 	1.00E+5  	15.915 	0.000
Fetus CSF               	1000	0.6 	4200    	0       	0       	4.000 	65.00    	7.958  	0.100 	40       	1.592   	0.000 	2.000   	0.00E+0  	159.155 	0.000 	0.00E+0  	15.915 	0.000
Fetus Spine             	1850	0.4 	1300    	3.00E+03	6.00E+02	2.500 	10.00    	13.263 	0.200 	180      	79.577  	0.200 	0.020   	5.00E+3  	159.155 	0.200 	1.00E+5  	15.915 	0.000
